customer_id,open_date,gender,age,married,number_of_dependents,satisfaction_score,customer_status,cltv,number_of_referrals,tenure_in_months,offer,phone_service,multiple_lines,internet_service,internet_type,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,contract,payment_method,monthly_charge,total_revenue,churn_category,churn_date,churn_reason
3712-PKXZA,2020-07-13,Male,22,Yes,0,4,Stayed,5110,3,61,No Offer,Yes,No,No,,No,No,No,No,No,No,One Year,Credit Card,20.55,2427.47,,,
1347-KTTTA,2020-04-07,Male,22,Yes,0,3,Stayed,6398,10,64,Offer B,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,102.45,9245.46,,,
0945-TSONX,2021-09-07,Female,22,Yes,0,3,Stayed,5698,6,47,Offer B,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two Year,Credit Card,85.3,5607.3,,,
2560-PPCHE,2020-03-13,Female,22,No,0,5,Stayed,5742,0,65,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,One Year,Bank Withdrawal,105.05,8488.2,,,
2654-VBVPB,2025-07-11,Female,22,No,0,5,Joined,2010,0,1,No Offer,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,19.9,31.73,,,
5172-MIGPM,2025-04-21,Male,22,No,0,4,Stayed,5707,0,4,No Offer,Yes,Yes,Yes,Cable,No,No,No,Yes,No,Yes,Month-to-Month,Credit Card,65.55,290.44,,,
3003-CMDUU,2023-07-09,Female,22,Yes,0,3,Stayed,3273,0,25,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,95.15,3220.95,,,
5533-RJFTJ,2021-07-13,Male,22,No,0,4,Stayed,5214,0,49,Offer B,No,No,Yes,Cable,No,No,Yes,No,No,No,Month-to-Month,Bank Withdrawal,30.2,1453.1,,,
0214-JHPFW,2019-10-11,Female,22,Yes,0,4,Stayed,5640,9,70,No Offer,No,No,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,57.8,4038.29,,,
4697-LUPSU,2025-06-05,Male,22,Yes,0,3,Joined,3866,6,2,No Offer,Yes,No,No,,No,No,No,No,No,No,One Year,Credit Card,20.2,111.57,,,
0030-FNXPP,2025-05-10,Female,22,No,0,4,Joined,5634,0,3,No Offer,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Credit Card,19.85,66.56,,,
4718-DHSMV,2024-09-15,Female,22,No,0,5,Stayed,2534,0,11,Offer D,No,No,Yes,DSL,No,No,No,No,Yes,No,Month-to-Month,Credit Card,35.8,363.15,,,
9871-ELEYA,2022-10-19,Female,22,No,0,3,Stayed,4263,0,34,No Offer,Yes,No,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two Year,Credit Card,67.65,3044.8,,,
8374-UULRV,2019-08-18,Male,22,No,0,4,Stayed,5965,0,72,No Offer,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two Year,Credit Card,86.05,9811.57,,,
2483-XSSMZ,2022-05-20,Female,22,No,0,3,Stayed,5531,0,39,No Offer,Yes,No,Yes,DSL,Yes,No,No,No,No,No,One Year,Bank Withdrawal,47.85,2944.27,,,
9992-UJOEL,2025-06-26,Male,22,No,0,5,Joined,5870,0,2,Offer E,Yes,No,Yes,DSL,No,Yes,No,No,No,No,Month-to-Month,Credit Card,50.3,129.99,,,
3733-LSYCE,2024-05-13,Female,22,Yes,0,5,Stayed,4891,6,15,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,Bank Withdrawal,75.35,1565.9,,,
8785-CJSHH,2020-08-24,Female,22,Yes,0,4,Stayed,6213,9,60,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,99.8,8054.55,,,
7898-PDWQE,2019-09-20,Male,22,Yes,0,3,Stayed,5228,2,71,Offer A,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two Year,Credit Card,80.4,7007.99,,,
2178-PMGCJ,2023-10-13,Male,22,No,0,3,Stayed,4838,0,22,Offer D,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Credit Card,69.7,1837.34,,,
9359-JANWS,2020-03-01,Female,22,Yes,0,4,Stayed,5657,5,65,No Offer,Yes,No,Yes,DSL,Yes,No,Yes,Yes,No,No,Two Year,Credit Card,58.9,6087.25,,,
5447-WZAFP,2021-03-02,Female,22,No,0,4,Stayed,5377,0,53,Offer B,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,One Year,Mailed Check,100.3,5642.29,,,
9891-NQDBD,2023-04-24,Female,22,Yes,0,3,Stayed,3493,7,28,No Offer,Yes,Yes,No,,No,No,No,No,No,No,One Year,Mailed Check,25.55,1886.28,,,
1552-AAGRX,2023-02-01,Female,22,No,0,4,Stayed,5503,0,30,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,106.4,4546.6,,,
7649-PHJVR,2024-09-19,Male,22,No,0,4,Stayed,5825,0,11,Offer D,Yes,No,No,,No,No,No,No,No,No,One Year,Mailed Check,19.5,595.08,,,
5380-XPJNZ,2022-06-18,Female,22,No,0,3,Stayed,4539,0,38,No Offer,Yes,No,No,,No,No,No,No,No,No,One Year,Credit Card,20.05,2222.52,,,
7799-DSEWS,2024-02-21,Male,22,No,0,3,Stayed,5993,0,18,Offer D,Yes,No,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Bank Withdrawal,68.35,2176.04,,,
1936-CZAKF,2021-07-26,Male,22,Yes,0,4,Stayed,4283,8,49,No Offer,No,No,Yes,Cable,No,Yes,No,No,Yes,Yes,Two Year,Credit Card,49.65,2409.9,,,
0258-NOKBL,2025-05-23,Male,22,No,0,5,Joined,5625,0,3,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,90.4,362.89,,,
1728-BQDMA,2025-06-25,Female,22,No,0,3,Joined,5694,0,2,Offer E,Yes,No,Yes,DSL,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,44.45,120.1,,,
8205-VSLRB,2019-10-23,Male,22,Yes,0,3,Stayed,6252,2,70,No Offer,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,No,Yes,Two Year,Credit Card,77.3,5807.33,,,
4232-JGKIY,2025-07-17,Male,22,No,0,4,Joined,2716,0,1,No Offer,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,19.2,45.57,,,
2227-JRSJX,2023-11-13,Female,22,No,0,3,Stayed,5324,0,21,Offer D,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,99.15,2084.92,,,
8039-EQPIM,2019-11-24,Male,22,Yes,0,3,Stayed,5717,7,69,No Offer,No,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,60.25,4175.5,,,
1353-GHZOS,2023-10-11,Male,22,Yes,0,3,Stayed,3947,10,22,Offer D,Yes,No,Yes,DSL,Yes,No,No,No,Yes,No,One Year,Bank Withdrawal,59.75,1507.01,,,
6194-HBGQN,2021-05-17,Male,22,No,0,4,Stayed,4549,0,51,No Offer,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,One Year,Credit Card,81.15,5898.45,,,
4872-VXRIL,2020-12-14,Male,22,No,0,3,Stayed,4656,0,56,Offer B,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One Year,Bank Withdrawal,64.65,6371.47,,,
6624-JDRDS,2025-02-26,Female,22,No,0,3,Stayed,4391,0,6,Offer E,No,No,Yes,Cable,Yes,No,No,No,No,No,Month-to-Month,Bank Withdrawal,29.45,161.45,,,
2190-PHBHR,2019-08-08,Female,22,Yes,0,4,Stayed,5274,5,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,Two Year,Credit Card,94.45,8558.98,,,
7184-LRUUR,2023-10-03,Female,22,No,0,5,Stayed,5146,0,22,No Offer,Yes,No,Yes,DSL,No,Yes,Yes,No,Yes,No,One Year,Bank Withdrawal,65.25,1480.08,,,
1194-BHJYC,2020-07-17,Male,22,Yes,0,3,Stayed,6427,1,61,Offer B,No,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two Year,Credit Card,62.15,3778.85,,,
6288-LBEAR,2023-09-18,Female,22,No,0,5,Stayed,3619,0,23,No Offer,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,No,No,Month-to-Month,Credit Card,79.1,2132.89,,,
8242-JSVBO,2025-01-18,Male,22,No,0,4,Stayed,4300,0,7,No Offer,Yes,No,Yes,DSL,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,44.65,509.82,,,
6578-KRMAW,2022-12-07,Male,22,No,0,3,Stayed,3224,0,32,No Offer,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Credit Card,93.4,4461.86,,,
1945-XISKS,2020-01-12,Female,22,Yes,0,4,Stayed,4994,4,67,No Offer,Yes,No,No,,No,No,No,No,No,No,Two Year,Credit Card,19.65,3546.87,,,
3680-CTHUH,2020-08-12,Male,22,No,0,3,Stayed,5680,0,60,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,116.6,9703.9,,,
8884-FEEWR,2022-09-15,Male,22,No,0,4,Stayed,2858,0,35,Offer C,Yes,No,No,,No,No,No,No,No,No,One Year,Bank Withdrawal,20.6,2224.7,,,
8541-QVFKM,2024-12-05,Female,22,No,0,3,Stayed,5777,0,8,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,73.5,770.6,,,
4060-LDNLU,2025-01-06,Male,22,No,0,5,Stayed,4329,0,7,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,96.2,961.21,,,
4254-QPEDE,2021-04-17,Female,22,Yes,0,4,Stayed,4275,3,52,No Offer,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,66.25,3330.1,,,
5118-MUEYH,2021-08-03,Female,22,Yes,0,3,Stayed,3109,4,48,Offer B,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Credit Card,105.1,6967.55,,,
2676-OXPPQ,2025-02-01,Male,22,No,0,3,Stayed,2482,0,6,No Offer,Yes,No,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-Month,Bank Withdrawal,55.7,354.61,,,
5666-MBJPT,2020-03-17,Male,22,No,0,4,Stayed,5449,0,65,Offer B,Yes,Yes,No,,No,No,No,No,No,No,Two Year,Bank Withdrawal,25.1,3052.95,,,
9761-XUJWD,2025-03-08,Male,22,No,0,4,Stayed,5636,0,5,No Offer,Yes,No,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-Month,Bank Withdrawal,65.6,382.9,,,
4079-ULGFR,2024-04-06,Male,22,No,0,3,Stayed,3705,0,16,Offer D,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Credit Card,20.0,341.78,,,
9638-JIQYA,2025-06-06,Male,22,No,0,3,Joined,4033,0,2,No Offer,No,No,Yes,DSL,No,No,No,No,No,No,Month-to-Month,Credit Card,24.9,59.7,,,
2812-ENYMO,2023-06-15,Male,22,No,0,4,Stayed,4296,0,26,Offer C,No,No,Yes,Cable,Yes,No,No,Yes,Yes,Yes,One Year,Credit Card,54.55,1362.85,,,
0186-CAERR,2019-09-14,Male,22,No,0,4,Stayed,4644,0,71,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,116.3,8514.03,,,
9494-MRNYX,2024-10-15,Male,22,No,0,4,Stayed,3399,0,10,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,75.05,966.1,,,
2676-ISHSF,2025-07-16,Male,22,No,0,5,Joined,5203,0,1,No Offer,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Credit Card,20.3,49.49,,,
2832-KJCRD,2022-06-10,Female,22,No,0,5,Stayed,2511,0,38,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,103.65,5038.6,,,
8107-RZLNV,2019-08-14,Male,22,Yes,0,5,Stayed,4634,10,72,No Offer,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Two Year,Bank Withdrawal,106.3,8651.83,,,
9572-WUKSB,2025-05-03,Male,22,Yes,0,3,Joined,4416,5,3,No Offer,No,No,Yes,DSL,No,No,No,Yes,No,No,Month-to-Month,Bank Withdrawal,29.9,92.25,,,
5130-YPIRV,2020-06-14,Female,22,Yes,0,4,Stayed,6489,1,62,Offer B,Yes,No,Yes,Cable,Yes,Yes,Yes,No,Yes,No,Two Year,Credit Card,72.0,4681.62,,,
0928-XUTSN,2024-07-06,Female,22,No,0,4,Stayed,3895,0,13,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,80.5,1571.68,,,
0578-SKVMF,2023-10-08,Female,23,Yes,0,1,Churned,3804,4,22,No Offer,Yes,No,Yes,Cable,No,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,83.3,1934.12,Competitor,2025-08-12,Competitor had better devices
2024-BASKD,2025-07-16,Female,23,No,0,3,Churned,3860,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,Month-to-Month,Mailed Check,74.6,106.76,Competitor,2025-08-17,Competitor offered more data
3276-HDUEG,2025-07-02,Female,23,No,0,2,Churned,4838,0,1,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Mailed Check,75.05,107.91,Competitor,2025-08-04,Competitor made better offer
5896-NPFWW,2025-05-12,Male,23,Yes,0,1,Churned,3273,1,3,No Offer,Yes,No,Yes,Cable,No,No,Yes,No,No,No,Month-to-Month,Bank Withdrawal,50.15,208.77,Competitor,2025-08-12,Competitor made better offer
4361-BKAXE,2022-03-26,Female,23,No,0,1,Churned,3038,0,41,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,114.5,5411.41,Competitor,2025-08-31,Competitor made better offer
0927-LCSMG,2025-01-11,Male,23,No,0,3,Churned,3331,0,7,Offer E,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,Month-to-Month,Mailed Check,74.65,705.61,Competitor,2025-08-15,Competitor offered more data
2833-SLKDQ,2025-07-23,Male,23,No,0,1,Churned,4094,0,1,No Offer,Yes,No,Yes,Cable,No,No,No,No,No,No,Month-to-Month,Credit Card,45.05,93.08,Competitor,2025-08-26,Competitor had better devices
7721-JXEAW,2020-09-11,Male,23,Yes,0,2,Churned,4324,1,59,Offer B,No,No,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,41.05,2452.7,Competitor,2025-08-15,Competitor offered higher download speeds
3331-HQDTW,2022-10-06,Female,23,No,0,1,Churned,3410,0,34,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-Month,Credit Card,109.8,3858.91,Competitor,2025-08-08,Competitor made better offer
4116-TZAQJ,2024-11-11,Female,23,No,0,1,Churned,5393,0,9,No Offer,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,Month-to-Month,Credit Card,74.25,764.39,Attitude,2025-08-11,Attitude of support person
7054-LGEQW,2025-07-17,Female,23,No,0,2,Churned,4888,0,1,Offer E,Yes,No,Yes,DSL,No,No,No,No,No,No,Month-to-Month,Credit Card,45.95,51.07,Attitude,2025-08-17,Attitude of support person
7615-ESMYF,2025-06-21,Female,23,Yes,0,3,Churned,5482,1,2,No Offer,No,No,Yes,Cable,No,No,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,44.6,97.1,Competitor,2025-08-26,Competitor made better offer
8565-CLBZW,2023-08-08,Male,23,No,0,3,Churned,2050,0,24,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-Month,Mailed Check,89.85,2836.33,Competitor,2025-08-11,Competitor made better offer
3722-WPXTK,2025-07-02,Male,23,No,0,1,Churned,4254,0,1,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,88.35,102.61,Competitor,2025-08-03,Competitor offered higher download speeds
3763-GCZHZ,2020-02-03,Male,23,Yes,0,2,Churned,5504,1,66,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,One Year,Bank Withdrawal,104.05,8214.62,Competitor,2025-08-05,Competitor offered more data
4918-QLLIW,2025-05-03,Male,23,No,0,2,Churned,2755,0,3,No Offer,Yes,No,Yes,DSL,No,No,No,No,Yes,No,Month-to-Month,Credit Card,53.4,331.74,Other,2025-08-08,Don't know
3834-XUIFC,2025-01-16,Male,23,No,0,1,Churned,3905,0,7,Offer E,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Credit Card,85.2,734.36,Attitude,2025-08-19,Attitude of support person
7587-RZNME,2025-05-08,Male,23,No,0,3,Churned,4849,0,3,Offer E,Yes,No,Yes,DSL,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,43.3,270.17,Price,2025-08-08,Lack of affordable download/upload speed
2165-VOEGB,2021-10-04,Female,23,No,0,2,Churned,3322,0,46,No Offer,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,One Year,Bank Withdrawal,105.2,6802.69,Other,2025-08-09,Don't know
0968-GSIKN,2025-07-03,Female,23,No,0,3,Churned,3901,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Mailed Check,70.8,101.4,Competitor,2025-08-08,Competitor made better offer
4587-VVTOX,2025-02-21,Female,23,Yes,0,1,Churned,4163,1,6,Offer E,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Bank Withdrawal,105.3,709.84,Competitor,2025-08-24,Competitor offered more data
4628-CTTLA,2020-11-08,Male,23,No,0,1,Churned,4917,0,57,Offer B,No,No,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-Month,Bank Withdrawal,39.3,2191.45,Dissatisfaction,2025-08-13,Lack of self-service on Website
0883-EIBTI,2025-06-21,Female,23,No,0,3,Churned,2484,0,2,No Offer,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Mailed Check,19.5,87.59,Dissatisfaction,2025-08-24,Limited range of services
3765-JXVKY,2025-07-06,Female,23,No,0,1,Churned,4692,0,1,Offer E,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,Bank Withdrawal,74.7,118.81,Competitor,2025-08-08,Competitor offered more data
9239-ZBZZV,2025-02-21,Female,23,No,0,1,Churned,2240,0,6,Offer E,No,No,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-Month,Bank Withdrawal,47.95,305.1,Competitor,2025-08-21,Competitor had better devices
9692-TUSXH,2024-02-07,Female,23,No,0,1,Churned,5581,0,18,Offer D,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,96.05,2383.3,Competitor,2025-08-11,Competitor offered higher download speeds
0231-LXVAP,2025-07-07,Male,23,No,0,3,Churned,3389,0,1,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,Yes,No,No,Month-to-Month,Bank Withdrawal,75.9,120.46,Competitor,2025-08-12,Competitor made better offer
8042-JVNFH,2025-07-20,Male,23,No,0,3,Churned,5730,0,1,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Credit Card,71.35,106.63,Attitude,2025-08-21,Attitude of support person
7639-LIAYI,2021-04-19,Male,23,No,0,4,Stayed,4142,0,52,Offer B,Yes,Yes,Yes,Cable,Yes,No,No,Yes,Yes,Yes,Two Year,Credit Card,79.75,5734.12,,,
3774-VBNXY,2020-04-12,Female,23,Yes,0,5,Stayed,4557,1,64,No Offer,Yes,No,No,,No,No,No,No,No,No,Two Year,Credit Card,20.2,3597.11,,,
9167-APMXZ,2023-10-26,Female,23,No,0,3,Stayed,3549,0,22,No Offer,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Month-to-Month,Bank Withdrawal,84.15,2304.35,,,
4709-LKHYG,2023-03-01,Female,23,Yes,0,5,Stayed,3800,6,29,Offer C,Yes,No,No,,No,No,No,No,No,No,One Year,Bank Withdrawal,20.0,1343.93,,,
5027-YOCXN,2021-05-07,Male,23,Yes,0,3,Stayed,5604,6,51,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,One Year,Credit Card,110.05,7029.35,,,
4686-GEFRM,2019-10-24,Male,23,Yes,0,3,Stayed,5582,5,70,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Yes,Two Year,Bank Withdrawal,98.7,10025.7,,,
6614-VBEGU,2023-08-19,Female,23,Yes,0,5,Stayed,4208,8,24,Offer C,Yes,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,69.45,2671.49,,,
5736-YEJAX,2019-11-23,Male,23,No,0,4,Stayed,5189,0,69,Offer A,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two Year,Credit Card,79.45,7407.6,,,
0308-IVGOK,2024-09-26,Female,23,No,0,5,Stayed,2133,0,11,No Offer,No,No,Yes,DSL,No,Yes,Yes,Yes,No,No,One Year,Credit Card,40.4,422.6,,,
3030-ZKIWL,2025-07-17,Male,23,No,0,5,Joined,2798,0,1,No Offer,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Credit Card,20.05,38.2,,,
8338-QIUNR,2019-08-09,Male,23,Yes,0,3,Stayed,4397,8,72,No Offer,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two Year,Credit Card,66.5,5204.47,,,
9661-JALZV,2020-10-20,Female,23,No,0,4,Stayed,5138,0,58,Offer B,Yes,Yes,No,,No,No,No,No,No,No,Two Year,Credit Card,24.7,4297.2,,,
4018-PPNDW,2020-07-22,Female,23,Yes,0,4,Stayed,5970,9,61,Offer B,Yes,Yes,No,,No,No,No,No,No,No,Two Year,Credit Card,24.1,2365.95,,,
7817-OMJNA,2024-06-26,Male,23,No,0,5,Stayed,5068,0,14,Offer D,Yes,No,No,,No,No,No,No,No,No,One Year,Bank Withdrawal,20.4,785.58,,,
3551-GAEGL,2022-10-10,Male,23,Yes,0,4,Stayed,4697,0,34,No Offer,No,No,Yes,DSL,Yes,No,No,No,No,No,One Year,Bank Withdrawal,30.4,938.65,,,
3196-NVXLZ,2023-07-12,Female,23,No,0,3,Stayed,4874,0,25,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Month-to-Month,Credit Card,84.6,2327.3,,,
0422-OHQHQ,2024-05-22,Female,23,Yes,0,5,Stayed,3009,7,15,No Offer,Yes,No,No,,No,No,No,No,No,No,One Year,Credit Card,20.55,815.4,,,
7408-OFWXJ,2019-08-11,Female,23,Yes,0,3,Stayed,5762,3,72,No Offer,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,89.8,9744.69,,,
7471-WNSUF,2020-08-22,Male,23,Yes,0,3,Stayed,4501,1,60,Offer B,Yes,Yes,No,,No,No,No,No,No,No,One Year,Bank Withdrawal,24.15,2491.1,,,
7567-ECMCM,2023-08-04,Male,23,No,0,4,Stayed,5128,0,24,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Credit Card,79.85,2848.2,,,
3318-ISQFQ,2023-12-16,Female,23,No,0,3,Stayed,5409,0,20,Offer D,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,19.5,632.4,,,
7277-KAMWT,2024-07-16,Male,23,No,0,3,Stayed,3037,0,13,Offer D,Yes,No,No,,No,No,No,No,No,No,Two Year,Credit Card,20.0,289.38,,,
9272-LSVYH,2024-10-19,Male,23,No,0,3,Stayed,3963,0,10,No Offer,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Credit Card,70.15,778.4,,,
3584-WKTTW,2021-05-10,Male,23,Yes,0,4,Stayed,4053,2,51,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,111.55,7725.67,,,
0404-AHASP,2019-08-14,Male,23,Yes,0,3,Stayed,6436,10,72,Offer A,Yes,No,No,,No,No,No,No,No,No,Two Year,Credit Card,19.7,3435.74,,,
8958-JPTRR,2020-12-23,Female,23,Yes,0,5,Stayed,5052,7,56,No Offer,Yes,Yes,No,,No,No,No,No,No,No,One Year,Bank Withdrawal,24.3,2449.46,,,
0463-WZZKO,2025-05-14,Male,23,No,0,5,Joined,2406,0,3,Offer E,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Credit Card,20.75,116.27,,,
4445-KWOKW,2022-02-26,Female,23,No,0,3,Stayed,5988,0,42,Offer B,Yes,Yes,Yes,Cable,Yes,Yes,No,No,No,No,One Year,Bank Withdrawal,60.15,3658.08,,,
9675-ICXCT,2019-08-12,Male,23,Yes,0,5,Stayed,4689,8,72,Offer A,Yes,No,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,80.8,8253.59,,,
4123-FCVCB,2024-08-12,Female,23,No,0,4,Stayed,5942,0,12,Offer D,Yes,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One Year,Credit Card,75.85,1445.45,,,
9251-WNSOD,2020-01-20,Female,23,Yes,0,4,Stayed,4931,10,67,Offer A,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One Year,Mailed Check,75.1,5380.02,,,
8982-NHAVY,2023-05-02,Male,23,No,0,3,Stayed,5939,0,27,Offer C,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,One Year,Bank Withdrawal,100.5,2982.67,,,
7140-ADSMJ,2024-12-20,Male,23,No,0,3,Stayed,5624,0,8,Offer E,Yes,No,No,,No,No,No,No,No,No,Month-to-Month,Credit Card,20.45,443.98,,,
6384-VMJHP,2019-08-16,Female,23,No,0,4,Stayed,5127,0,72,Offer A,Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,Two Year,Credit Card,73.0,6922.64,,,
1790-NESIO,2024-07-17,Female,23,No,0,5,Stayed,4883,0,13,No Offer,Yes,No,No,,No,No,No,No,No,No,Two Year,Credit Card,20.4,346.58,,,
1550-EENBN,2023-01-21,Female,23,No,0,4,Stayed,5320,0,31,No Offer,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,104.35,4622.61,,,
4727-MCYZG,2025-07-24,Male,23,No,0,5,Joined,2207,0,1,Offer E,Yes,No,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,Mailed Check,55.55,118.87,,,
0484-JPBRU,2022-03-24,Male,23,No,0,4,Stayed,3461,0,41,No Offer,Yes,Yes,No,,No,No,No,No,No,No,Month-to-Month,Bank Withdrawal,25.25,2686.06,,,
